#{"t_start": 1616687079.692363, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-310.897952,109,1.690116
-467.59564,60,2.365042
-599.346334,67,2.739934
-484.536078,65,3.148625
-1163.727447,91,3.604273
-776.399293,85,4.192615
-412.589863,59,4.690243
-830.172528,82,5.072299
-413.063143,50,5.562001
-452.926713,59,5.878211
-425.617236,60,6.251095
-793.413809,79,6.628132
-622.996575,67,7.099643
-505.82727,71,7.573489
-542.720542,70,8.029154
-965.167604,86,8.47524
-667.263433,70,9.003604
-523.51263,59,9.426917
-671.51013,78,9.803811
-483.223219,65,10.278531
-777.943804,85,10.693268
-394.581368,55,11.196978
-523.964392,60,11.545557
-446.512757,52,11.911007
-420.545202,74,12.244958
-929.10731,85,12.716146
-929.728691,85,13.237557
-765.493322,75,13.765546
-1069.580395,90,14.262744
-385.251106,51,14.80652
-587.861976,64,15.133793
-439.893408,52,15.532627
-463.754894,62,15.908957
-481.557316,59,16.286394
-541.793324,76,16.659636
-514.481549,63,17.110396
-493.724401,56,17.489689
-879.706728,84,17.856759
-497.4071,68,18.364955
-467.214848,72,18.787678
-697.694427,82,19.237599
-492.668002,59,19.724339
-577.082893,72,20.112673
-383.266135,51,20.572699
-453.252217,53,20.889811
-1030.839164,140,21.283067
-456.278526,58,22.102723
-389.039553,48,22.452551
-706.230083,74,22.761765
-419.155836,60,23.208286
-425.22671,59,23.577016
-718.423956,73,23.94901
-523.255066,68,24.389119
-524.028827,69,24.814209
-529.78923,60,25.293566
-779.706424,84,25.684409
-435.189711,53,26.182717
-704.521788,71,26.554085
-544.316907,61,27.009506
-535.527737,69,27.388484
-457.633861,75,27.815953
-727.642944,85,28.279969
-561.935837,68,28.787565
-516.711216,59,29.194062
-477.338455,57,29.550049
-737.740979,75,29.916662
-399.270891,49,30.363698
-469.632328,59,30.678383
-813.991749,85,31.062523
-338.237065,52,31.569181
-744.633256,80,31.909308
-471.058926,58,32.394621
-700.061031,76,32.806702
-412.059536,51,33.296103
-430.16072,60,33.611022
-536.722794,70,33.985111
-329.498792,51,34.40554
-495.542581,73,34.744209
-537.926371,62,35.189152
-329.435005,53,35.581755
-504.006301,64,35.930077
-479.516773,57,36.328157
-673.896489,72,36.69399
-726.472034,77,37.143457
-556.728316,69,37.623613
-327.567692,50,38.043037
-393.047582,50,38.361437
-626.396373,66,38.692899
-490.272379,64,39.145597
-525.153006,66,39.562891
-405.62548,52,39.961771
-580.249238,62,40.284351
-642.738225,72,40.67629
-539.465909,60,41.119148
-427.732319,56,41.488534
-692.590019,80,41.859911
-560.407465,61,42.33944
-489.925895,56,42.710651
-424.944961,61,43.056568
-474.928311,58,43.430559
-464.443563,60,43.785795
-531.996914,59,44.152553
-483.054684,64,44.523748
